date,Unnamed: 0,open,high,low,close,volume,marketCap,crypto_name,daily_return,volatility_7d,MA_7,MA_14,MA_30,price_range,price_range_pct,close_open_pct,BB_middle,BB_std,BB_upper,BB_lower,BB_width,TR,ATR_14,volume_MA7,volume_change,volume_spike,liquidity_ratio,RSI_14,volatility_lag1,volatility_lag3,volatility_lag7,return_lag1,return_lag3
2013-12-27,236,763.2800292969,777.5100097656,713.5999755859,735.0700073242,46862700.0,8955394563.5,Bitcoin,-0.03531585321709363,0.059191325229330266,677.2985665457571,694.1342817034,837.8179972330701,63.910034179700006,0.08694414619410898,-0.03695894152855781,751.9884979248001,124.80233026481419,1001.5931584544285,502.38383739517167,0.6638523360887608,63.910034179700006,107.32856968470715,6694671.428571428,inf,7.0,0.005232901763033525,40.527081161780465,0.07250759189942597,0.1722458898750862,0.18212608055107832,0.11692874030996303,-0.01162732416649237
2013-12-28,237,737.9799804688,747.0599975586,705.3499755859,727.8300170898,32505800.0,8869918644.0,Bitcoin,-0.009849388714355256,0.05626183251264635,694.7514299665143,683.7935703822501,827.680666097,41.71002197270002,0.057307367095789645,-0.01375371100521223,748.5864990234301,124.47011596975003,997.5267309629301,499.64626708393,0.6650941000519124,41.71002197270002,107.00142560686429,11338357.142857144,-0.3063609224393814,2.8668879971273236,0.003664723579171534,41.157789940129376,0.059191325229330266,0.13537322420695314,0.18204475278249027,-0.03531585321709363,0.024985733429338186
2013-12-29,238,728.049987793,748.6099853516,714.4400024414,745.049987793,19011300.0,9082103621.25,Bitcoin,0.023659330199176765,0.05616715256039358,713.0185721261142,674.43142700195,814.7833333333299,34.16998291020002,0.04586267159257184,0.023350045031294554,741.17949829101,119.72961778741038,980.6387338658308,501.7202627161892,0.6461572024778314,34.16998291020002,105.07356916155716,14054257.142857144,-0.41514129786068943,1.3527075680170115,0.002093270545330269,42.12631865631532,0.05626183251264635,0.07250759189942597,0.18269980571857752,-0.009849388714355256,0.11692874030996303
2013-12-30,239,741.3499755859,766.5999755859,740.2399902344,756.1300048828,20707700.0,9217167990.25,Bitcoin,0.014871508316671944,0.04894328608514469,724.8357195173,678.0142865862143,802.3399983723934,26.359985351499972,0.0348617105276569,0.019936642319599636,729.56049804687,104.8104952916831,939.1814886302361,519.9395074635038,0.5746500561490083,26.359985351499972,91.67071097237859,17012500.0,0.08923114147901501,1.2172049963262308,0.0022466445248589136,53.725161345299945,0.05616715256039358,0.059191325229330266,0.17288393774083602,0.023659330199176765,-0.03531585321709363
2013-12-31,240,760.3200073242,760.5800170898,738.1699829102,754.0100097656,20897300.0,9191325349.25,Bitcoin,-0.0028037442020683034,0.04817067608974137,737.4685756138427,683.1492876325285,795.6119995117167,22.41003417959996,0.029721136177710154,-0.00829913391442483,723.3369995117099,99.03898388237056,921.4149672764511,525.2590317469687,0.5476782409816009,22.41003417959996,84.41785539899286,19997828.57142857,0.00915601442941516,1.0449784548036645,0.0022735894124023357,55.51701570802587,0.04894328608514469,0.05626183251264635,0.1722458898750862,0.014871508316671944,-0.009849388714355256
2014-01-01,241,754.9699707031,775.3499755859,754.9699707031,771.4000244141,22489400.0,9403308145.0,Bitcoin,0.02306337372617384,0.04813583325961815,750.2100045340428,700.91357421875,786.5476684570299,20.380004882799994,0.026419502512045136,0.021762526124977918,718.244000244135,93.38095680118367,905.0059138465024,531.4820866417676,0.520051440844298,21.339965820299994,67.25571114675714,23210600.0,0.07618687581649297,0.9689279897977648,0.0023916476683749047,74.40628478897992,0.04817067608974137,0.05616715256039358,0.13537322420695314,-0.0028037442020683034,0.023659330199176765
2014-01-02,242,773.4400024414,820.3099975586,767.2100219727,802.3900146484,38489500.0,9781073920.75,Bitcoin,0.040173696206242226,0.025381675819588605,755.9828665596999,708.8014308384428,777.3513346354134,53.09997558589998,0.06617726369534635,0.03743019770844267,713.7345001220649,86.43855496748692,886.6116100570388,540.857390187091,0.48442974216717266,53.09997558589998,56.452854701435704,28709100.0,0.7114507278984765,1.3406724697047279,0.003935099592524976,64.87353078169158,0.04813583325961815,0.04894328608514469,0.07250759189942597,0.02306337372617384,0.014871508316671944
2014-01-03,243,802.8499755859,834.1500244141,789.1199951172,818.7199707031,37810100.0,9980135396.0,Bitcoin,0.020351644158801863,0.01699994688660857,767.9328613281143,722.6157139369358,766.26966552734,45.03002929690001,0.05500052631943147,0.019767074297559115,711.0404998779251,81.94973070985601,874.9399612976371,547.1410384582131,0.4610130124735541,45.03002929690001,50.11000279016428,27415871.42857143,-0.017651567310565164,1.3791317959200902,0.0037885357762935906,80.13212751504689,0.025381675819588605,0.04817067608974137,0.059191325229330266,0.040173696206242226,-0.0028037442020683034
2014-01-04,244,823.2700195313,859.5100097656,801.6699829102,859.5100097656,38005000.0,10477362436.8,Bitcoin,0.049821722349670194,0.017050116466007195,786.7442888532286,740.7478594098714,760.0829996744734,57.84002685539997,0.06729418645301609,0.044019567547148065,710.210000610345,80.25537199337468,870.7207445970944,549.6992566235956,0.45200924754314525,57.84002685539997,48.87714494975713,28201471.42857143,0.005154707340102149,1.3476247186696946,0.0036273442127489775,87.10716799794739,0.01699994688660857,0.04813583325961815,0.05626183251264635,0.020351644158801863,0.02306337372617384
2014-01-05,245,858.549987793,952.4000244141,854.5200195313,933.5300292969,72898496.0,11379660685.2,Bitcoin,0.08611885689555421,0.028940346834418946,813.6700090680715,763.3442905970929,763.55233357747,97.8800048828,0.1048493372586199,0.08733334409175718,721.5880035400351,94.49094868590733,910.5699009118497,532.6061061682204,0.5237944545770974,97.8800048828,50.075718470957135,35899642.28571428,0.9181290882778581,2.030619007839219,0.006406034240969004,89.09901639144118,0.017050116466007195,0.025381675819588605,0.05616715256039358,0.049821722349670194,0.040173696206242226
